var,lead,season_year,season,p_abaixo,p_normal,p_acima,obs_cat
precipitacao,3,1980,AMJ,0.2290,0.3527,0.4183,1
precipitacao,3,1981,AMJ,0.2251,0.3733,0.4016,1
precipitacao,3,1982,AMJ,0.2647,0.3706,0.3647,1
precipitacao,3,1983,AMJ,0.2116,0.3502,0.4383,2
precipitacao,3,1984,AMJ,0.2822,0.4068,0.3110,2
precipitacao,3,1985,AMJ,0.2712,0.3670,0.3618,1
precipitacao,3,1986,AMJ,0.2760,0.3899,0.3341,0
precipitacao,3,1987,AMJ,0.2406,0.3959,0.3635,2
precipitacao,3,1988,AMJ,0.2880,0.3615,0.3505,2
precipitacao,3,1989,AMJ,0.3352,0.3681,0.2967,1
precipitacao,3,1990,AMJ,0.2634,0.3720,0.3646,1
precipitacao,3,1991,AMJ,0.2816,0.3697,0.3486,2
precipitacao,3,1992,AMJ,0.2390,0.3033,0.4578,1
precipitacao,3,1993,AMJ,0.2558,0.4171,0.3272,2
precipitacao,3,1994,AMJ,0.3175,0.3722,0.3103,2
precipitacao,3,1995,AMJ,0.3062,0.3111,0.3828,1
precipitacao,3,1996,AMJ,0.3284,0.3642,0.3074,1
precipitacao,3,1997,AMJ,0.2823,0.3782,0.3395,2
precipitacao,3,1998,AMJ,0.3882,0.2794,0.3324,2
precipitacao,3,1999,AMJ,0.3278,0.3962,0.2760,0
precipitacao,3,2000,AMJ,0.3520,0.3783,0.2698,0
precipitacao,3,2001,AMJ,0.3003,0.3455,0.3542,0
precipitacao,3,2002,AMJ,0.3149,0.3788,0.3063,0
precipitacao,3,2003,AMJ,0.2882,0.3312,0.3806,0
precipitacao,3,2004,AMJ,0.3357,0.3005,0.3638,2
precipitacao,3,2005,AMJ,0.3193,0.3125,0.3682,1
precipitacao,3,2006,AMJ,0.3202,0.3466,0.3332,0
precipitacao,3,2007,AMJ,0.3156,0.3260,0.3584,0
precipitacao,3,2008,AMJ,0.4006,0.3483,0.2511,2
precipitacao,3,2009,AMJ,0.3952,0.3214,0.2834,1
precipitacao,3,2010,AMJ,0.3104,0.2914,0.3982,0
precipitacao,3,2011,AMJ,0.4145,0.3178,0.2677,1
precipitacao,3,2012,AMJ,0.3960,0.3774,0.2266,2
precipitacao,3,2013,AMJ,0.3688,0.2873,0.3439,2
precipitacao,3,2014,AMJ,0.3486,0.3284,0.3229,0
precipitacao,3,2015,AMJ,0.3640,0.2989,0.3371,1
precipitacao,3,2016,AMJ,0.3884,0.2879,0.3237,2
precipitacao,3,2017,AMJ,0.3967,0.2705,0.3328,1
precipitacao,3,2018,AMJ,0.4041,0.3265,0.2694,0
precipitacao,3,2019,AMJ,0.4473,0.2394,0.3133,1
precipitacao,3,2020,AMJ,0.3750,0.2497,0.3753,0
precipitacao,3,2021,AMJ,0.3907,0.3468,0.2625,0
precipitacao,3,2022,AMJ,0.4125,0.3323,0.2552,0
precipitacao,3,2023,AMJ,0.5143,0.2481,0.2377,1
precipitacao,3,2024,AMJ,0.3496,0.2703,0.3801,0
